Company,Record_ID,Year,Month_Name,Quarter,Business_Segment,Asset_Name,Asset_Type,Region,Customer_Segment,Gas_Volume_MMSCMD,Capacity_MMSCMD,Capacity_Utilization_Percent,Average_Price_USD_per_MMBTU,Revenue_INR_Lakh,Opex_INR_Lakh,EBITDA_INR_Lakh,EBITDA_Margin_Percent,Flaring_Loss_MMSCM,Pipeline_Length_KM,Number_of_Customers,Reserves_BCM,Wells_in_Operation,Lifting_Cost_USD_per_BOE
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700863,2025,Nov-2025,Q4,Transmission,Jagdishpur-Haldia Pipeline,Pipeline,UP-Bihar-West Bengal,N/A,8.84,12.0,73.67,0.705,5.97,2.38,3.59,60.13,0.0,2050,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700864,2025,Dec-2025,Q4,Transmission,Jagdishpur-Haldia Pipeline,Pipeline,UP-Bihar-West Bengal,N/A,9.17,12.0,76.42,1.194,10.5,2.8,7.7,73.33,0.0,2050,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700865,2020,Jan-2020,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,9.9,16.0,61.88,0.944,8.96,3.02,5.94,66.29,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700866,2020,Feb-2020,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.15,16.0,69.69,0.924,9.88,3.15,6.73,68.12,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700867,2020,Mar-2020,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.4,16.0,65.0,0.847,8.44,2.82,5.62,66.59,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700868,2020,Apr-2020,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.16,16.0,63.5,0.603,5.87,1.85,4.02,68.48,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700869,2020,May-2020,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.07,16.0,62.94,1.042,10.06,3.57,6.49,64.51,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700870,2020,Jun-2020,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.17,16.0,63.56,1.175,11.46,3.64,7.82,68.24,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700871,2020,Jul-2020,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,9.66,16.0,60.38,1.031,9.55,2.76,6.79,71.1,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700872,2020,Aug-2020,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,9.61,16.0,60.06,0.633,5.83,1.77,4.06,69.64,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700873,2020,Sep-2020,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,9.81,16.0,61.31,0.84,7.9,2.17,5.73,72.53,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700874,2020,Oct-2020,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,9.73,16.0,60.81,0.655,6.11,2.11,4.0,65.47,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700875,2020,Nov-2020,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,9.6,16.0,60.0,0.624,5.74,1.9,3.84,66.9,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700876,2020,Dec-2020,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,9.95,16.0,62.19,0.907,8.65,3.34,5.31,61.39,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700877,2021,Jan-2021,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.47,16.0,65.44,1.159,11.63,3.14,8.49,73.0,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700878,2021,Feb-2021,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.67,16.0,66.69,0.921,9.42,2.63,6.79,72.08,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700879,2021,Mar-2021,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.74,16.0,67.12,1.164,11.98,3.33,8.65,72.2,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700880,2021,Apr-2021,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.52,16.0,72.0,0.729,8.05,2.86,5.19,64.47,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700881,2021,May-2021,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.93,16.0,68.31,1.18,12.36,3.18,9.18,74.27,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700882,2021,Jun-2021,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.79,16.0,67.44,1.004,10.39,3.65,6.74,64.87,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700883,2021,Jul-2021,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.06,16.0,69.12,1.144,12.13,3.51,8.62,71.06,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700884,2021,Aug-2021,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,9.89,16.0,61.81,0.691,6.55,1.73,4.82,73.59,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700885,2021,Sep-2021,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.39,16.0,64.94,0.791,7.88,2.69,5.19,65.86,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700886,2021,Oct-2021,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,9.55,16.0,59.69,0.618,5.66,1.95,3.71,65.55,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700887,2021,Nov-2021,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.49,16.0,65.56,0.641,6.45,1.98,4.47,69.3,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700888,2021,Dec-2021,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.98,16.0,68.62,1.181,12.43,4.0,8.43,67.82,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700889,2022,Jan-2022,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.86,16.0,67.88,0.644,6.7,2.07,4.63,69.1,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700890,2022,Feb-2022,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.44,16.0,71.5,1.252,13.73,3.54,10.19,74.22,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700891,2022,Mar-2022,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.3,16.0,76.88,0.812,9.57,3.59,5.98,62.49,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700892,2022,Apr-2022,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.6,16.0,72.5,0.815,9.06,2.77,6.29,69.43,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700893,2022,May-2022,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.86,16.0,67.88,0.796,8.29,2.3,5.99,72.26,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700894,2022,Jun-2022,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.67,16.0,66.69,1.122,11.48,4.37,7.11,61.93,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700895,2022,Jul-2022,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.52,16.0,72.0,0.979,10.81,3.95,6.86,63.46,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700896,2022,Aug-2022,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.2,16.0,63.75,1.036,10.13,3.14,6.99,69.0,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700897,2022,Sep-2022,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.38,16.0,71.12,0.606,6.61,2.25,4.36,65.96,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700898,2022,Oct-2022,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.97,16.0,68.56,0.605,6.36,2.52,3.84,60.38,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700899,2022,Nov-2022,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.38,16.0,71.12,0.843,9.2,2.45,6.75,73.37,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700900,2022,Dec-2022,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.09,16.0,69.31,0.965,10.26,3.67,6.59,64.23,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700901,2023,Jan-2023,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.93,16.0,68.31,0.855,8.96,3.31,5.65,63.06,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700902,2023,Feb-2023,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.45,16.0,71.56,1.035,11.36,4.29,7.07,62.24,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700903,2023,Mar-2023,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.28,16.0,76.75,1.259,14.82,3.77,11.05,74.56,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700904,2023,Apr-2023,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.5,16.0,78.12,1.094,13.11,3.52,9.59,73.15,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700905,2023,May-2023,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.26,16.0,76.62,1.157,13.6,4.53,9.07,66.69,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700906,2023,Jun-2023,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.76,16.0,67.25,0.754,7.78,2.82,4.96,63.75,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700907,2023,Jul-2023,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.03,16.0,75.19,0.8,9.23,3.31,5.92,64.14,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700908,2023,Aug-2023,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.85,16.0,67.81,1.225,12.74,3.88,8.86,69.54,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700909,2023,Sep-2023,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.74,16.0,67.12,1.064,10.95,4.21,6.74,61.55,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700910,2023,Oct-2023,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.3,16.0,70.62,0.637,6.9,2.03,4.87,70.58,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700911,2023,Nov-2023,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.2,16.0,70.0,0.741,7.96,2.4,5.56,69.85,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700912,2023,Dec-2023,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.41,16.0,71.31,0.904,9.89,3.65,6.24,63.09,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700913,2024,Jan-2024,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.04,16.0,75.25,1.159,13.38,3.74,9.64,72.05,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700914,2024,Feb-2024,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.15,16.0,75.94,0.856,9.97,2.88,7.09,71.11,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700915,2024,Mar-2024,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.42,16.0,71.38,0.99,10.84,4.16,6.68,61.62,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700916,2024,Apr-2024,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.69,16.0,79.31,0.978,11.9,3.33,8.57,72.02,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700917,2024,May-2024,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.61,16.0,72.56,1.28,14.25,3.95,10.3,72.28,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700918,2024,Jun-2024,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.19,16.0,76.19,0.676,7.9,2.39,5.51,69.75,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700919,2024,Jul-2024,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.57,16.0,72.31,1.107,12.28,4.6,7.68,62.54,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700920,2024,Aug-2024,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.93,16.0,68.31,0.719,7.53,2.65,4.88,64.81,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700921,2024,Sep-2024,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,10.53,16.0,65.81,0.829,8.37,2.21,6.16,73.6,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700922,2024,Oct-2024,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.05,16.0,69.06,1.193,12.64,4.55,8.09,64.0,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700923,2024,Nov-2024,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.06,16.0,75.38,0.79,9.13,3.12,6.01,65.83,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700924,2024,Dec-2024,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.62,16.0,78.88,0.812,9.82,3.31,6.51,66.29,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700925,2025,Jan-2025,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.43,16.0,77.69,1.207,14.38,3.73,10.65,74.06,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700926,2025,Feb-2025,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.31,16.0,76.94,1.006,11.87,3.59,8.28,69.76,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700927,2025,Mar-2025,Q1,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,13.47,16.0,84.19,1.129,14.58,5.71,8.87,60.84,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700928,2025,Apr-2025,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.39,16.0,77.44,0.847,10.06,2.64,7.42,73.76,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700929,2025,May-2025,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.72,16.0,73.25,1.292,14.52,4.38,10.14,69.83,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700930,2025,Jun-2025,Q2,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,13.24,16.0,82.75,1.084,13.76,3.7,10.06,73.11,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700931,2025,Jul-2025,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.43,16.0,77.69,0.651,7.76,1.98,5.78,74.48,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700932,2025,Aug-2025,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.19,16.0,69.94,1.087,11.66,3.59,8.07,69.21,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700933,2025,Sep-2025,Q3,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.08,16.0,69.25,0.939,9.97,3.89,6.08,60.98,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700934,2025,Oct-2025,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.06,16.0,69.12,0.717,7.6,2.07,5.53,72.76,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700935,2025,Nov-2025,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,11.65,16.0,72.81,0.686,7.66,2.86,4.8,62.66,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700936,2025,Dec-2025,Q4,Transmission,KKBM Pipeline (Kochi-Bangalore-Mangalore),Pipeline,Kerala-Karnataka,N/A,12.31,16.0,76.94,0.984,11.61,3.69,7.92,68.22,0.0,880,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700937,2020,Jan-2020,Q1,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,13.86,22.0,63.0,0.971,12.9,3.61,9.29,72.02,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700938,2020,Feb-2020,Q1,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,15.36,22.0,69.82,1.163,17.13,6.31,10.82,63.16,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700939,2020,Mar-2020,Q1,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,14.05,22.0,63.86,0.903,12.16,4.58,7.58,62.34,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700940,2020,Apr-2020,Q2,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,14.42,22.0,65.55,0.684,9.46,3.41,6.05,63.95,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700941,2020,May-2020,Q2,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,13.35,22.0,60.68,1.066,13.64,3.96,9.68,70.97,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700942,2020,Jun-2020,Q2,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,13.71,22.0,62.32,1.074,14.12,4.81,9.31,65.93,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700943,2020,Jul-2020,Q3,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,14.5,22.0,65.91,1.119,15.55,5.69,9.86,63.41,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700944,2020,Aug-2020,Q3,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,12.74,22.0,57.91,0.927,11.32,4.03,7.29,64.4,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700945,2020,Sep-2020,Q3,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,13.04,22.0,59.27,0.932,11.65,3.13,8.52,73.13,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700946,2020,Oct-2020,Q4,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,12.84,22.0,58.36,0.892,10.98,4.26,6.72,61.2,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700947,2020,Nov-2020,Q4,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,13.91,22.0,63.23,0.77,10.27,3.72,6.55,63.78,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700948,2020,Dec-2020,Q4,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,13.67,22.0,62.14,0.855,11.2,3.7,7.5,66.96,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700949,2021,Jan-2021,Q1,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,15.81,22.0,71.86,0.846,12.82,3.38,9.44,73.63,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700950,2021,Feb-2021,Q1,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,15.61,22.0,70.95,1.074,16.07,6.06,10.01,62.29,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700951,2021,Mar-2021,Q1,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,15.92,22.0,72.36,1.25,19.08,6.35,12.73,66.72,0.0,1400,0,0,0,0.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700952,2021,Apr-2021,Q2,Transmission,East-West Pipeline,Pipeline,Gujarat-Andhra Pradesh,N/A,14.85,22.0,67.5,0.837,11.92,3.14,8.78,73.66,0.0,1400,0,0,0,0.0
